기업명,주소,직무,직급,이용하는 기술스택,우대사항,해당 페이지 URL,자격요건
피나클 FINAKLE,,Backend Server 개발,주니어 (1~3년),"['Python', 'AWS', 'Docker', 'ec2', 'Redis', 'FastAPI', 'MySQL', 'Node.js', 'nginx', 'Kubernetes']","• 핀테크 경험이 있으신 분
• 블록체인 기술에 대한 이해와 응용경험이 있으신 분
• (남성의 경우) 병역의 의무를 마치신 분 또는 군면제자",https://www.rallit.com/positions/2112/backend-developer,"• 최소 2년 이상
• Python 기반 프레임워크 경험이 있으신 분 ( FastAPI, Flask, Django etc. )
• AWS를 활용한 배포경험이 있으신 분
• 다른 포지션과 협업 및 프로덕션 경험이 있으신 분
• 증권계좌 연동, 금융 공공API 연동, 금융기관등 외부 시스템 연동 및 사용 경험이 있으신 분"
주식회사 다이노즈,,다이노즈에서는 탁월한 팀원들과 함께 서로를 존중하며 즐겁게 일할 팀원을 찾고 있습니다.,경력무관,"['NestJS', 'Node.js', 'AWS']","- 커뮤니티, SNS 웹/앱 서비스 운영/구현 경험 보유
- Firebase 연동 경험 보유 (Auth, Storage, Dynamic links 등)
- 스타트업 경험자",https://www.rallit.com/positions/1115/%EC%9D%B8%EC%9E%AC%ED%92%80-%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90-nest-js-node-js,"- 기술 Stack : [BE] Nest.js (Node.js)
    - 참고 : [FE,Client] Flutter (+Firebase)
    - (DevOps) 기타 - AWS (RDS, Codepipeline, ElasticBeanstalk)
- API 설계 및 구현 경험"
(주)브리치,"서울 강남구 봉은사로18길 85 BM빌딩 L1 브리치 (역삼동,아트리아빌딩)",쇼핑몰 통합관리 솔루션 (SaaS) ' 비플로우 '와 함께 할 백엔드 & 프론트엔드 개발자 를 찾습니다!,미들 (4~8년),"['PHP', 'JavaScript', 'Python', 'Node.js', 'Spring Boot', 'AWS']","• 오픈소스 이용한 개발 경험 보유자
• Rest API 개발 유경험자
• 모바일/이커머스/o2o서비스에서 개발 경험
• 대용량 데이터 시스템 처리 및 운영 경험자
• 리눅스 플랫폼에서도 익숙하게 개발할 줄 아는 개발자
• AWS 시스템 관리 경험이 있는 분
• 사용자 통계 데이터 수집 및 분석 경험이 있는 분
• Unit Test 에 대한 이해도가 높으신 분",https://www.rallit.com/positions/506/%EB%B9%84%ED%94%8C%EB%A1%9C%EC%9A%B0-%EB%B0%B1%EC%97%94%EB%93%9C-%EC%84%9C%EB%B2%84-%EA%B0%9C%EB%B0%9C%EC%9E%90,"• PHP 유경험자
• Modern PHP Programming, OOP에 대한 이해
• Backend 프레임워크 CodeIgniter, Laravel 등 유경험자
• Frontend 프레임워크 React JS, Vue JS, Angular JS 등 유경험자
• Git 이슈트래커 등 협업경험"
(주)레인포컴퍼니,,"레인포컴퍼니와 함께 기존 택시의 단점, 유상운송에 대한 문제를 해결 할 백엔드 개발자를 구합니다.",미들 (4~8년),"['JavaScript', 'TypeScript', 'NestJS', 'TypeORM', 'Git', 'AWS']","**우대사항은 그저 우대사항일 뿐입니다.**

- 24 / 365 서비스 개발 경험
- CI / CD 파이프라인 구축 경험
- AWS 클라우드 기반 인프라 구축 및 운영 경험
- 유지보수성 및 확장성을 고려한 코드 구현 경험
- 테스트 코드 작성 경험
- Spring 기반 백엔드 개발 2년 이상 혹은 그에 준하는 실력을 갖추신분

    → Java, SpringBoot, Mybatis, JPA 기반의 웹 어플리케이션 개발 경험",https://www.rallit.com/positions/1358/%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90,"**아래의 NestJS, Spring 기반 경험 중 하나만 해당 하시면 돼요!** 

- NestJS 기반 백엔드 개발 2년 이상 혹은 그에 준하는 실력을 갖추신분
    
    → TypeScript, NestJS, TypeORM 기반의 웹 어플리케이션 개발 경험
    
- API 시스템 설계 및 개발 경험
- RDBMS, NoSQL 사용한 테이블 설계 및 개발 경험
- Git을 사용한 형상 관리 경험
- 문제 해결에 대한 다양한 접근과 해결 방안에 대해 고민해본 경험
- 문서화를 습관처럼 하시는분
- 커뮤니케이션이 원활하고 코드 리뷰에 적극적이신분
- 개발자로서 성장에 대해 계속 고민하시는분"
롯데헬스케어 주식회사,서울 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰 27층,"""Every Moment of your Healthy Life"" 롯데헬스케어의 DevOps 엔지니어를 채용합니다.",경력무관,"['AWS', 'Kubernetes', 'Terraform', 'Jenkins', 'Ansible', 'Google Cloud Platform', 'Azure', 'Prometheus', 'Kafka', 'Airflow']","• DevOps 분야에서 5년 이상의 경험
• Google Cloud Platform, Microsoft Azure에 대한 경험
• 다양한 프로그래밍 언어 개발 경험
• SRE(Site Reliability Engineering)에 대한 경험
• Agile 개발에 대한 경험
• Kubernetes(EKS), ArgoCD, Github action, Prometheus나 Open metrics 에 대한 이해, 
   각종 모니터링, 장애대응에 대한 경험
• Kafka나 Glue, Airflow 같은 Data pipelines 이나 ETL 관련 기술 경험
• 다양한 문제에 대해 집요하게 원인을 파고 들수 있는 의지와 경험을 가진 사람
• 다양한 기술의 밑바닥까지의 호기심을 가진 사람",https://www.rallit.com/positions/1642/devops-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4,"• 컴퓨터 과학 또는 관련 분야의 학사 학위
• DevOps 분야에서 2년 이상의 경험
• 네트워크에 대한 깊은 이해
• AWS, Container, Kubernetes 및 클라우드 인프라 전반에 대한 견고한 이해
• Terraform IaC(Infrastructure as Code) 구축 및 유지 관리
• Jenkins, Ansible 및 Chef와 같은 자동화 도구에 대한 경험
• 뛰어난 문제 해결 및 문제 해결 기술
• 뛰어난 의사 소통 및 팀워크 기술"
(주)라텔앤드파트너즈,서울 중구 필동로 16 참그루 참그루빌딩 2층,"라텔앤드파트너즈는 2020년에 설립한 회사로 매출액 33억원, 사원수 33명 규모의 중소기업입니다. 
서울 중구 필동로16(참그루빌딩)에 위치하고 있습니다.",미들 (4~8년),"['Python', 'Spring', 'AWS', 'Git', 'iOS', 'HTML/CSS', 'Java']","• 테스트 코드 작성 및 코드 리뷰에 적극적인 분
• 서비스 운영 및 지속적인 구조 개선을 위해 노력하는 분
• JPA, Hibernate 등 ORM 경험이 있는 분",https://www.rallit.com/positions/1935/java-%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90-4%EB%85%84-%EC%9D%B4%EC%83%81,"• 개발 경력 4년 이상
• Java 기반 Spring Framework, RDBMS(MSSQL 등)를 이용한 개발 경험자
• 원활한 커뮤니케이션 및 협업 능력을 가지신 분
• 성장하고자 하는 의지와 욕구가 강력한 분
• 해외 여행에 결격 사유가 없는 자"
패스트뷰,서울 강남구 강남대로 364 미왕빌딩 12층,백엔드 개발자 (5년 이상),미들 (4~8년),"['AWS', 'Node.js', 'Kotlin', 'Spring', 'PHP', 'Confluence', 'Java', 'Spring Boot', 'MySQL']","• 데이터 스크래핑 경험이 있으신 분
• 레디스/맴캐시드 등 캐싱 도구 사용 경험이 있으신 분
• RDBMS 뿐 아닌 다양한 데이터베이스를 다뤄보신 분 
• 글로벌 서비스를 런칭 및 운영 해보신 분
• 처음부터 신규 서비스 개발에 참여해 런칭을 해보신 분
• 다양한 분야의 사람과의 팀워크 협업능력과 커뮤니케이션 능력이 뛰어나신 분
• 협업을 위한 개발도구를 활용하여 프로세스를 만들고 표현할 수 있는 분
• 이슈에 대해 효과적인 커뮤니케이션이 가능한 분",https://www.rallit.com/positions/1770/%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90-5%EB%85%84-%EC%9D%B4%EC%83%81,"• 백엔드 경력 5년 이상
• AWS 사용 및 운영 경험
• 코틀린 사용경험
• 앱/웹 등 다양한 플랫폼 서비스 개발 경험
• Java(1.8이상) / Spring Boot 환경에서 RESTful 서비스 개발 경험
• MySQL / Aurora 등 RDMBS에 대한 이해와 JPA / Hibernate 등 ORM 경험
• Git 기반소스 버전 관리 경험
• 웹 애플리케이션 성능 최적화, 유지보수, 트러블슈팅 경험"
라이프시맨틱스,,라이프시맨틱스는 대한민국 디지털 헬스케어 기술 개발을 선도하며 보다 편리한 의료 서비스를 만들어 가고 있습니다.,미들 (4~8년),"['AWS', 'Kubernetes', 'Kafka', 'grafana', 'CI/CD']","• 긍정적이고 원활한 커뮤니케이션 능력이 있으신 분
• 디지털 헬스케어 분야에 관심이 있으신 분",https://www.rallit.com/positions/2306/devops-engineer,"• AWS, NCP 등 퍼블릭 클라우드 아키텍처 설계 및 운영 경험이 있으신 분
• Kubernetes 등 컨테이너 오케스트레이션 도구를 다뤄보신 분
• Kafka, ELK, InfluxDB, Grafana 등 옵저버빌리티 및 모니터링 인프라 운영 경험이 있으신 분
• CI/CD 파이프라인 구축 경험이 있으신 분
• 지시에 따라 업무를 수행하는 것이 아니라 적극적으로 문제를 정의하고 해결하는 분"
오비맥주,서울 강남구 영동대로 517 ASEM 및 한국종합무역센타단지 8층,"오비맥주 Strategy & Technology팀에서 Sr. Data Engineer를 채용하고자 하니, 아래 주요 업무 및 자격요건을 상세히 살펴보신 후 지원바랍니다.",시니어 (9년 이상),"['Python', 'SQL', 'Java', 'AWS', 'Azure', 'Google Cloud Platform']","[Tech]
- Experience in Data Science related projects
- Extensive experience working with Azure platforms & services

[Industry-Optional]
- CPG or alcohol industry
- Data scientist, data engineer, business analyst
- Data visualization 

[Personality-Optional]
- Ability to comprehend and converse in English to communicate effectively",https://www.rallit.com/positions/1791/data-sr-engineer,"[Tech]
- Proficiency in programming languages like Python, SQL, and Java.
- Familiarity with cloud platforms and services like AWS, Azure, or GCP.
- Understanding of data modeling and database design principles 
- Knowledge of data warehousing and ETL (Extract, Transform, Load) processes & best practices of pipeline - management  

[Leadership]
- A mindset of continuous learning
- Strategic thinking and the ability to align data engineering initiatives with organizational goals.
- Problem-solving and decision-making skills to overcome challenges and drive successful outcomes

[Position Experience]
- A bachelor's or master's degree in a relevant field such as Computer Science, Data Engineering, Data Science, or a related discipline. 
- Over 8+ years of experience in data engineering, data architecture, or a related field.
- Experience in managing and leading a team of data engineers. 
- Ability to effectively manage multiple projects and changing priorities"
(주)올림플래닛,서울 강남구 테헤란로 521 파르나스타워 7층,3D 리얼타임 콘텐츠를 기반 버추얼 투어 플랫폼 ELYPECS의 데이터 선별 및 처리 로직을 개발하고 인프라를 운영합니다.,시니어 (9년 이상),"['GO', 'AWS', 'Kubernetes', 'Docker', 'Spring Boot', 'Java', 'Elasticsearch', 'MySQL', 'Node.js', 'JavaScript']","• Docker 및 Kubernetes 사용 경험이 있는 분

• 인프라 운영 및 장애 대응 경험이 있는 분",https://www.rallit.com/positions/2263/be%EA%B0%9C%EB%B0%9C,"• 컴퓨터공학에 대한 전문 지식을 갖춘 분(학/석사 학위)

• 정보처리기사 자격증을 보유한 분

• 3D 그래픽에 대한 이해도가 높은 분

• 개발 트렌드 분석 및 셀프 트레이닝 역량을 지닌 분"
주식회사 원더베리,서울 도봉구 마들로13길 84 창동 아우르네 209호,웹 기반 서비스의 클라우드 인프라를 설계하고 스케일링 및 자동화 프로세스를 구축합니다.,미들 (4~8년),"['AWS', 'Google Cloud Platform', 'Azure', 'Docker', 'Kubernetes', 'CI/CD', 'REST API', 'GraphQL', 'Node.js']","- Kubernetes 사용 경험이 있으신 분
- CI/CD 파이프라인 구축 경험이 있으신 분",https://www.rallit.com/positions/385/%EB%8D%B0%EB%B8%8C%EC%98%B5%EC%8A%A4-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4,"- 1년 이상 유관 분야 개발 경험이 있으신 분
- 언어와 무관하게 하나의 언어에 대한 높은 이해도가 있으신 분
- Node.js 기반 프레임워크로 개발 경험이 있으신 분
- Docker를 사용한 개발 경험이 있으신 분
- 클라우드 환경에 대한 이해(AWS, GCP, Azure 등)가 있으신 분
- REST API 또는 GraphQL에 대한 이해가 있으신 분
- 버전 관리 도구(Git)를 능숙하게 사용하시는 분"
(주)이너웨이브,서울 금천구 벚꽃로 298 대륭포스트타워6차 1609호,백엔드 경력 개발자 (경력 7년이상),미들 (4~8년),"['Java', 'SQL', 'JPA', 'ORM', 'Shell Script', 'AWS', 'REST API', 'Node.js']","▣ 마이크로서비스에 대한 이해 / 개발 가능하신 분
▣ JPA(ORM) 기반 개발 가능하신분
▣ 쉘 스크립트 개발 가능하신분",https://www.rallit.com/positions/1426/%EA%B2%BD%EB%A0%A5%EA%B0%9C%EB%B0%9C%EC%9E%90-%EB%B0%B1%EC%97%94%EB%93%9C,"▣ 경력 7년~15년 개발자
▣ Java 언어 사용 가능하신분
▣ 스프링 프레임워크 사용 가능하신분
▣ 데이터베이스에 대한 이해 / SQL 사용 가능하신 분
▣ 신규 기술에 습득에 대해 두려움이 없으신 분"
주식회사그로잉랩,,"펀더멘탈 데이터 기반의 투자 플랫폼, 버틀러를 함께 키워가실 백엔드 시니어 엔지니어를 찾고 있습니다.",시니어 (9년 이상),"['Node.js', 'MySQL', 'AWS', 'Github']","- 다양한 환경에서 개발하신 경험이 있으신 분
- 서비스 인프라 설계 및 관리를 수행하신 분
- 팀 매니징 경험이 있으신 분
- 금융 또는 기업데이터를 활용한 프로젝트 경험이 있으신 분
- Machine Learning을 활용한 데이터 처리 경험이 있으신 분",https://www.rallit.com/positions/1368/%EB%B0%B1%EC%97%94%EB%93%9C-%EC%8B%9C%EB%8B%88%EC%96%B4-%EA%B0%9C%EB%B0%9C%EC%9E%90,"- 웹서비스 개발을 7년이상 경험하신 분
- AWS 등의 클라우드 기반 서비스를 개발하고 운영한 경험이 있으신 분
- 웹 서비스의 설계/개발/성능 최적화를 경험이 있으신 분
- 빌드, 테스트, 배포 자동화 경험이 있으신 분"
(주)라텔앤드파트너즈,서울 중구 필동로 16 참그루 참그루빌딩 2층,"라텔앤드파트너즈는 2020년에 설립한 회사로 매출액 33억원, 사원수 33명 규모의 중소기업입니다. 
서울 중구 필동로16(참그루빌딩)에 위치하고 있습니다.",주니어 (1~3년),"['Python', 'Spring Boot', 'AWS', 'Git', 'iOS', 'HTML/CSS']","• 데이터베이스 인덱스에 대한 이해
• 데이터베이스 성능 분석 및 튜닝에 대한 경험
• DB 서버 구축 및 운영",https://www.rallit.com/positions/1933/dba-%EC%A3%BC%EB%8B%88%EC%96%B4,"• MSSQL 사용 경력
• 2년 이상의 DBA 경험"
브랜디,서울 성동구 왕십리로 125 KD타워 브랜디 성수 오피스,브랜디가 운영하는 전사 애플리케이션 및 인프라를 테스트하며 지속적인 통합/배포 파이프라인 구축 및 프로세스 최적화를 담당하고 있습니다.,미들 (4~8년),"['AWS', 'Python', 'bash', 'Terraform', 'infrastructure', 'helm']","- 클라우드 기반 대규모 서비스 구축/운영 과정에서 발생하는 문제를 구조적으로 해결해본 경험이 있는 분
- Terraform, Helm, Packer 등 다양한 도구를 활용해 인프라 구성을 자동화해본 경험이 있으신 분
- 마이크로서비스 아키텍처 구성 및 운영 경험이 있으신 분
- Kubernetes와 Istio를 활용하여 서비스를 운영이 가능하신 분
- 빠른 문제해결 능력으로 서비스 안정적으로 운영한 경험이 있는 분",https://www.rallit.com/positions/2038/%EB%8D%B0%EB%B8%8C%EC%98%B5%EC%8A%A4-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4-devops-engineer,"- 4년 이상의 퍼블릭 클라우드 설계, 구축, 운영 경험을 보유하신 분
- Infrastructure as Code를 이해하고 구현할 수 있는 분 (Terraform, Packer, Helm)
- 스크립트 작성 또는 코딩 기술을 보유한 분 (Python, Bash 등) 컨테이너 및 컨테이너 오케스트레이션 환경에 대한 이해가 있으신 분
- GitOps, AWS Code Series, ArgoCD등 개발-빌드-배포 파이프라인과 관련된 다양한 도구들의 구성 및 활용 경험이 있으신 분
- 리눅스, 데이터베이스, 스토리지, 분산 시스템, 네트워크 등 인프라 환경 구성 요소들에 대한 기본적인 이해가 있으신 분
- 장애 발생 시, 장애 대응 및 재발 방지를 위한 다양한 경험을 가지신 분
- 반복적인 업무의 자동화 및 효율적인 운영환경을 구축하여 불필요한 리소스를 절감한 경험이 있으신 분"
바이브존,"서울 강남구 선릉로94길 7 덕우빌딩 덕우빌딩 B2, 201호","바이브존은 삼성전자에서 스핀오프하여 AI, Big data, IoT, 네트워크 기술을 기반으로 엔터산업에 새로운 가치와 경험을 제공하고자 하는 기업입니다.

""내가 좋아하는 K팝 아티스트의 데뷔때 모습을 보고싶어!""
""작년 콘서트에서 본 파란머리의 OO의 사진을 찾고 싶어!""
""팬사인회 모습이나 공연하러 가는 출근길 모습이 궁금하네""

구글, 핀터레스트, 트위터, 인스타그램 등에서 찾아보던 아티스트의 모습들을 '바이브러리(vibrary)' 앱 한 곳에서 고화질의 사진으로 감상할 수 있습니다. 모든 사진에는 메타데이터 및 해시태그가 태깅되어 있어 관련 콘텐츠를 쉽고 빠르게 찾을수도 있습니다.

바이브러리 앱은 22년 1월에 출시하였으며, 현재 120만명의 글로벌 가입자가 사용중으로 K팝 전용 핀터레스트로 바이럴 중입니다.
이미지 콘텐츠에서 영상 콘텐츠로, 모바일에서 TV로 확장하고 있으며, AI, 빅데이터, IoT 등 다양한 기술을 적용하여 TIPS 과제에 선정된 기업입니다.
국내 1위 대기업과 비즈니스 모델 전략을 함께 수립하고 있으며, 지금까지는 가입자 유치에 중점을 두었다면 24년도 한해는 서비스 확장과 활성화에 중점을 두는 한 해가 될 것 입니다.

글로벌 서비스, 엔터사 협업 및 중개플랫폼에 관심이 있으신 분들의 많은 지원바랍니다.",미들 (4~8년),"['TypeScript', 'Git', 'JavaScript', 'AWS']","• Tizen TV app 개발 경험자 (Web or .NET Framework)
• 미디어 서비스 개발 경험자 우대 (VOD, Live Streaming)
• 미디어 스트리밍 시스템 개발 경험자 우대
• RTP / RTSP / HLS / MPEG-DASH 등의 스트리밍 프로토콜 개발 경험
• Unit Test 및 CI/CD에 대한 경험자
• Git 사용한 협업이 가능하고 Code review에 적극적으로 참여
• 글로벌 팬덤 플랫폼 앱 서비스를 개발 및 운영하고 싶으신 분",https://www.rallit.com/positions/2310/%EB%AF%B8%EB%94%94%EC%96%B4-%EC%84%9C%EB%B2%84-%EA%B0%9C%EB%B0%9C,"• 미디어 서비스 모바일 또는 TV app 개발 경험자
• 프론트엔드 기술 전반에 걸친 이해가 높으신 분
• React, JavaScript/TypeScript, JavaScript Style 능숙자"
하이프로토콜,서울 성동구 뚝섬로3길 13 청재오피스텔 2층,"크로스체인 에그리게이터(Cross-chain aggregator), 볼트(Vault), 대출(Lending), 월렛(Wallet)를 개발하고 있습니다.",미들 (4~8년),"['TypeScript', 'Express', 'DBMS/RDBMS', 'PostgreSQL', 'AWS', 'aws-serverless', 'Redis', 'websockets']","이런 분이면 더 좋아요

AWS Lambda 서버리스 컴퓨팅 서비스를 사용해 서비스를 운영한 경험이 있으신 분

Redis 또는 Memcached와 같은 인메모리 데이터베이스를 통한 성능 개선 경험이 있으신 분

유닛 테스트, 통합 테스트 코드 작성 경험이 있으신 분

WebSocket을 통한 실시간 서비스 구축 경험이 있으신 분

코드 리뷰 등을 통해 개발 문화를 개선해나가고 싶으신 분

자유롭게 의견이나 피드백을 주고받는 등 커뮤니케이션이 원활하신 분",https://www.rallit.com/positions/2047/web3-%ED%81%AC%EB%A1%9C%EC%8A%A4%EC%B2%B4%EC%9D%B8-%ED%94%84%EB%A1%9C%ED%86%A0%EC%BD%9C-%EB%B0%B1%EC%97%94%EB%93%9C-%EC%8B%9C%EB%8B%88%EC%96%B4-%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%B1%84%EC%9A%A9,"이런 분과 함께 하고 싶어요

Typescript를 사용한 Express 프레임워크 기반 백엔드 개발 경험이 있으신 분

RDBMS에 대한 이해도가 준수하고 PostgreSQL 사용 경험이 있으신 분

AWS를 통한 인프라 및 CI/CD 프로세스를 구축한 경험이 있는 분

블록체인 분야에 관심이 많고 스마트 컨트랙트를 연결해본 경험이 있는 분"
